experiment_id,seed,frame,timestamp,target_id,target_x,target_y,target_vx,target_vy,target_ax,target_ay,target_visible,trajectory_type,world_width,world_height,target_size_px,camera_pan_deg,camera_tilt_deg,camera_pan_rate_deg_s,camera_tilt_rate_deg_s,target_theta_x_deg,target_theta_y_deg,target_pixel_u,target_pixel_v,target_in_fov,disturbance_enabled,salt_pepper_enabled,salt_pepper_probability,gaussian_enabled,gaussian_sigma,poisson_enabled,poisson_parameter,camera_jitter_enabled,camera_jitter_x,camera_jitter_y,platform_motion_enabled,platform_model,platform_offset_x,platform_offset_y,platform_velocity_x,platform_velocity_y,atmosphere_enabled,atmosphere_condition,contrast_factor,brightness_factor
EXP_CC2CE078,42,17,0.283333,1,1810.313124,1793.764802,80.0,60.0,0.0,0.0,True,straight,2000,2000,10,0.0,0.0,0.0,0.0,5.053371,4.949813,1130.313124,1033.764802,False,False,False,0.0,False,0.0,False,0.0,False,0.0,0.0,False,linear,0.0,0.0,0.0,0.0,False,clear,1.0,0.0
EXP_CC2CE078,42,18,0.3,1,1811.646458,1794.764802,80.0,60.0,0.0,0.0,True,straight,2000,2000,10,0.0,0.0,0.0,0.0,5.061643,4.956018,1131.646458,1034.764802,False,False,False,0.0,False,0.0,False,0.0,False,0.0,0.0,False,linear,0.0,0.0,0.0,0.0,False,clear,1.0,0.0
EXP_CC2CE078,42,19,0.316667,1,1812.979791,1795.764802,80.0,60.0,0.0,0.0,True,straight,2000,2000,10,0.0,0.0,0.0,0.0,5.069915,4.962222,1132.979791,1035.764802,False,False,False,0.0,False,0.0,False,0.0,False,0.0,0.0,False,linear,0.0,0.0,0.0,0.0,False,clear,1.0,0.0
EXP_CC2CE078,42,20,0.333333,1,1814.313124,1796.764802,80.0,60.0,0.0,0.0,True,straight,2000,2000,10,0.0,0.0,0.0,0.0,5.078186,4.968427,1134.313124,1036.764802,False,False,False,0.0,False,0.0,False,0.0,False,0.0,0.0,False,linear,0.0,0.0,0.0,0.0,False,clear,1.0,0.0
EXP_CC2CE078,42,21,0.35,1,1815.646458,1797.764802,80.0,60.0,0.0,0.0,True,straight,2000,2000,10,0.0,0.0,0.0,0.0,5.086457,4.974631,1135.646458,1037.764802,False,False,False,0.0,False,0.0,False,0.0,False,0.0,0.0,False,linear,0.0,0.0,0.0,0.0,False,clear,1.0,0.0
EXP_CC2CE078,42,22,0.366667,1,1816.979791,1798.764802,80.0,60.0,0.0,0.0,True,straight,2000,2000,10,0.0,0.0,0.0,0.0,5.094728,4.980836,1136.979791,1038.764802,False,False,False,0.0,False,0.0,False,0.0,False,0.0,0.0,False,linear,0.0,0.0,0.0,0.0,False,clear,1.0,0.0
EXP_CC2CE078,42,23,0.383333,1,1818.313124,1799.764802,80.0,60.0,0.0,0.0,True,straight,2000,2000,10,0.0,0.0,0.0,0.0,5.102999,4.98704,1138.313124,1039.764802,False,False,False,0.0,False,0.0,False,0.0,False,0.0,0.0,False,linear,0.0,0.0,0.0,0.0,False,clear,1.0,0.0
EXP_CC2CE078,42,24,0.4,1,1819.646458,1800.764802,80.0,60.0,0.0,0.0,True,straight,2000,2000,10,0.0,0.0,0.0,0.0,5.11127,4.993244,1139.646458,1040.764802,False,False,False,0.0,False,0.0,False,0.0,False,0.0,0.0,False,linear,0.0,0.0,0.0,0.0,False,clear,1.0,0.0
EXP_CC2CE078,42,25,0.416667,1,1820.979791,1801.764802,80.0,60.0,0.0,0.0,True,straight,2000,2000,10,0.0,0.0,0.0,0.0,5.11954,4.999448,1140.979791,1041.764802,False,False,False,0.0,False,0.0,False,0.0,False,0.0,0.0,False,linear,0.0,0.0,0.0,0.0,False,clear,1.0,0.0
EXP_CC2CE078,42,26,0.433333,1,1822.313124,1802.764802,80.0,60.0,0.0,0.0,True,straight,2000,2000,10,0.0,0.0,0.0,0.0,5.127811,5.005652,1142.313124,1042.764802,False,False,False,0.0,False,0.0,False,0.0,False,0.0,0.0,False,linear,0.0,0.0,0.0,0.0,False,clear,1.0,0.0
