perception,estimator,controller,centroid_method,preset,trajectory,status,mean_error_px,max_error_px,lock_rate_pct,nan_inf
SOTA_FOURIER_GMM,IMM_ADAPTIVE_EKF,PID,geometric,DIFFICULT,figure8,PASSED,15.16,35.3,40.0,NO
SOTA_FOURIER_GMM,IMM_ADAPTIVE_EKF,PID,geometric,DIFFICULT,sinusoidal,PASSED,36.84,118.16,0.0,NO
SOTA_FOURIER_GMM,IMM_ADAPTIVE_EKF,PID,geometric,DIFFICULT,circular,PASSED,303.12,304.22,40.0,NO
SOTA_FOURIER_GMM,IMM_ADAPTIVE_EKF,PID,geometric,DIFFICULT,straight,PASSED,3.8,6.24,40.0,NO
SOTA_FOURIER_GMM,IMM_ADAPTIVE_EKF,PID,geometric,DIFFICULT,random,PASSED,4.79,6.06,40.0,NO
SOTA_FOURIER_GMM,IMM_ADAPTIVE_EKF,PID,geometric,DIFFICULT,spiral,PASSED,51.81,55.06,40.0,NO
SOTA_FOURIER_GMM,IMM_ADAPTIVE_EKF,PID,geometric,SEVERE,figure8,PASSED,20.85,28.84,40.0,NO
SOTA_FOURIER_GMM,IMM_ADAPTIVE_EKF,PID,geometric,SEVERE,sinusoidal,PASSED,10.95,10.95,0.0,NO
SOTA_FOURIER_GMM,IMM_ADAPTIVE_EKF,PID,geometric,SEVERE,circular,PASSED,307.75,311.44,40.0,NO
SOTA_FOURIER_GMM,IMM_ADAPTIVE_EKF,PID,geometric,SEVERE,straight,PASSED,12.02,16.06,40.0,NO
SOTA_FOURIER_GMM,IMM_ADAPTIVE_EKF,PID,geometric,SEVERE,random,PASSED,12.23,13.41,40.0,NO
SOTA_FOURIER_GMM,IMM_ADAPTIVE_EKF,PID,geometric,SEVERE,spiral,PASSED,59.21,64.21,40.0,NO
SOTA_FOURIER_GMM,IMM_ADAPTIVE_EKF,PID,geometric,RECOVERY,figure8,PASSED,20.19,29.39,40.0,NO
